Tag,Time,Date,Action,Source
0000000000,1435251039.384971,2015-06-25 09:50:39.384971,SeshStart,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1304000026,1435251042.894039,2015-06-25 09:50:42.894039,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1304000026,1435251043.382863,2015-06-25 09:50:43.382863,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000159,1435251043.43406,2015-06-25 09:50:43.434060,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000159,1435251044.895587,2015-06-25 09:50:44.895587,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251058.009501,2015-06-25 09:50:58.009501,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251058.988796,2015-06-25 09:50:58.988796,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251133.973679,2015-06-25 09:52:13.973679,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251140,2015-06-25 09:52:20,check+,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251140.369459,2015-06-25 09:52:20.369459,reward0,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251146.683917,2015-06-25 09:52:26.683917,reward1,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251153.028943,2015-06-25 09:52:33.028943,reward2,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251159.38837,2015-06-25 09:52:39.388370,reward3,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251165.752868,2015-06-25 09:52:45.752868,reward4,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251165.814503,2015-06-25 09:52:45.814503,complete,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251169.854958,2015-06-25 09:52:49.854958,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000159,1435251170.955512,2015-06-25 09:52:50.955512,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000159,1435251179.244577,2015-06-25 09:52:59.244577,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251179.540776,2015-06-25 09:52:59.540776,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251181.328614,2015-06-25 09:53:01.328614,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251181.836616,2015-06-25 09:53:01.836616,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251182,2015-06-25 09:53:02,check+,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251183.25515,2015-06-25 09:53:03.255150,reward0,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251189.570861,2015-06-25 09:53:09.570861,reward1,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251195.919071,2015-06-25 09:53:15.919071,reward2,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251202.284288,2015-06-25 09:53:22.284288,reward3,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251208.63145,2015-06-25 09:53:28.631450,reward4,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251208.750394,2015-06-25 09:53:28.750394,complete,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251212,2015-06-25 09:53:32,check+,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251213.18482,2015-06-25 09:53:33.184820,reward0,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251219.507297,2015-06-25 09:53:39.507297,reward1,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251225.879133,2015-06-25 09:53:45.879133,reward2,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251232.233537,2015-06-25 09:53:52.233537,reward3,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251238.64154,2015-06-25 09:53:58.641540,reward4,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251238.705815,2015-06-25 09:53:58.705815,complete,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251244.169468,2015-06-25 09:54:04.169468,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000300,1435251246.372002,2015-06-25 09:54:06.372002,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000300,1435251247.35113,2015-06-25 09:54:07.351130,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251251.129818,2015-06-25 09:54:11.129818,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251252.754321,2015-06-25 09:54:12.754321,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251253,2015-06-25 09:54:13,check+,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251253.059583,2015-06-25 09:54:13.059583,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251253.903833,2015-06-25 09:54:13.903833,reward0,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251260.225421,2015-06-25 09:54:20.225421,reward1,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251266.547746,2015-06-25 09:54:26.547746,reward2,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251272.909203,2015-06-25 09:54:32.909203,reward3,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251279.257275,2015-06-25 09:54:39.257275,reward4,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251279.328706,2015-06-25 09:54:39.328706,complete,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251283,2015-06-25 09:54:43,check+,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251283.685377,2015-06-25 09:54:43.685377,reward0,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251290.051133,2015-06-25 09:54:50.051133,reward1,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251296.369087,2015-06-25 09:54:56.369087,reward2,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251302.710306,2015-06-25 09:55:02.710306,reward3,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251309.072196,2015-06-25 09:55:09.072196,reward4,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251309.133969,2015-06-25 09:55:09.133969,complete,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251314.265344,2015-06-25 09:55:14.265344,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
2015050115,1435251314.707219,2015-06-25 09:55:14.707219,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
2015050115,1435251315.906851,2015-06-25 09:55:15.906851,exit,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251324.966558,2015-06-25 09:55:24.966558,entry,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251327,2015-06-25 09:55:27,check+,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251328.002143,2015-06-25 09:55:28.002143,reward0,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251334.321847,2015-06-25 09:55:34.321847,reward1,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251340.640317,2015-06-25 09:55:40.640317,reward2,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251347.005942,2015-06-25 09:55:47.005942,reward3,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251353.407396,2015-06-25 09:55:53.407396,reward4,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251353.486153,2015-06-25 09:55:53.486153,complete,T:/AutoHeadFix/June 25\06255headFix_EL.txt
1312000377,1435251357,2015-06-25 09:55:57,check+,T:/AutoHeadFix/June 25\06255headFix_EL.txt
